timestamp,origem,cpu_milicores,memoria_mib
1783618277,argocd-application-controller-0,3,99
1783618277,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618277,argocd-dex-server-99ff57675-dxbfz,1,18
1783618277,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618277,argocd-redis-6f6867546c-dp4gw,3,5
1783618277,argocd-repo-server-59444f4bbb-clf2r,1,25
1783618277,argocd-server-765575f778-ghm4z,1,30
1783618292,argocd-application-controller-0,18,137
1783618292,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618292,argocd-dex-server-99ff57675-dxbfz,0,18
1783618292,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618292,argocd-redis-6f6867546c-dp4gw,3,5
1783618292,argocd-repo-server-59444f4bbb-clf2r,5,33
1783618292,argocd-server-765575f778-ghm4z,1,30
1783618307,argocd-application-controller-0,3,137
1783618307,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618307,argocd-dex-server-99ff57675-dxbfz,0,18
1783618307,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618307,argocd-redis-6f6867546c-dp4gw,4,5
1783618307,argocd-repo-server-59444f4bbb-clf2r,1,33
1783618307,argocd-server-765575f778-ghm4z,1,30
1783618322,argocd-application-controller-0,3,137
1783618322,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618322,argocd-dex-server-99ff57675-dxbfz,1,18
1783618322,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618322,argocd-redis-6f6867546c-dp4gw,3,5
1783618322,argocd-repo-server-59444f4bbb-clf2r,1,33
1783618322,argocd-server-765575f778-ghm4z,1,30
1783618337,argocd-application-controller-0,3,137
1783618337,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618337,argocd-dex-server-99ff57675-dxbfz,1,18
1783618337,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618337,argocd-redis-6f6867546c-dp4gw,3,5
1783618337,argocd-repo-server-59444f4bbb-clf2r,1,33
1783618337,argocd-server-765575f778-ghm4z,1,30
1783618352,argocd-application-controller-0,22,112
1783618352,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618352,argocd-dex-server-99ff57675-dxbfz,1,18
1783618352,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618352,argocd-redis-6f6867546c-dp4gw,4,5
1783618352,argocd-repo-server-59444f4bbb-clf2r,6,44
1783618352,argocd-server-765575f778-ghm4z,12,45
1783618367,argocd-application-controller-0,3,112
1783618367,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618367,argocd-dex-server-99ff57675-dxbfz,1,18
1783618367,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618367,argocd-redis-6f6867546c-dp4gw,4,5
1783618367,argocd-repo-server-59444f4bbb-clf2r,1,44
1783618367,argocd-server-765575f778-ghm4z,1,45
1783618382,argocd-application-controller-0,36,110
1783618382,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618382,argocd-dex-server-99ff57675-dxbfz,1,18
1783618382,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618382,argocd-redis-6f6867546c-dp4gw,4,5
1783618382,argocd-repo-server-59444f4bbb-clf2r,1,45
1783618382,argocd-server-765575f778-ghm4z,7,46
1783618397,argocd-application-controller-0,4,112
1783618397,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618397,argocd-dex-server-99ff57675-dxbfz,1,18
1783618397,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618397,argocd-redis-6f6867546c-dp4gw,4,6
1783618397,argocd-repo-server-59444f4bbb-clf2r,4,47
1783618397,argocd-server-765575f778-ghm4z,1,46
1783618412,argocd-application-controller-0,3,112
1783618412,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
